image id,name,desc,location,duration,price,accomodation,meals,flight
1001,Taj Mahal,"The Taj Mahal is a white tomb built in the 16th century by the Mughal emperor, Shah Jahan in memory of his wife, Mumtaz Mahal. The building is in the city of Agra, Uttar Pradesh. Widely thought as one of the most beautiful buildings in the world, it is one of India's biggest tourist attractions.","Agra, Uttar Pradesh, India",3 Nights,"9,999",1,1,0
1002,Amer Fort,"Amer Fort is known for its artistic style elements. With its large ramparts and series of gates and cobbled paths, the fort overlooks Maota Lake, which is the main source of water for the Amer Palace."," Amer, Jaipur, Rajasthan,India",3 Nights,8999,1,1,1
1003,Ellora Caves,"Ellora is a UNESCO World Heritage Site located in the Aurangabad district of Maharashtra, India. It is one of the largest rock-cut monastery-temple cave complexes in the world, featuring Hindu, Buddhist and Jain monuments, and artwork"," Ellora, Maharashtra,India",2 Nights,8999,1,1,1
1004,Red Fort,"The Red Fort Complex was built as the palace fort of Shahjahanabad , the new capital of the fifth Mughal Emperor of India, Shah Jahan. Named for its massive enclosing walls of red sandstone, it is adjacent to an older fort, the Salimgarh","Lal Qila, Chandni Chowk, New Delhi,India",2 Nights,7999,1,0,1
1005,Gateway of India,"The Gateway of India is an arch monument built during the 20th century in Bombay, India. The monument was erected to commemorate the landing of King George V and Queen Mary at Apollo Bunder on their visit to India in 1911.","Colaba, Mumbai, Maharashtra,India",2 Nights,6999,1,0,1
1006,Golden Temple,"The Golden Temple is the most celebrated monument in Amritsar, known as much for its spiritual significance as for its architectural beauty. Also called Harmandir Sahib or Darbar Sahib, this gurudwara stands as the holiest pilgrimage site of Sikhism and a prime tourist attraction in India."," Amritsar, Punjab,India",3 Nights,9999,1,0,1
1007,Colosseum,"The Colosseum in Rome, Italy, is a large amphitheater that hosted events like gladiatorial games. The Colosseum, also named the Flavian Amphitheater, is a large amphitheater in Rome.  It was built during the reign of the Flavian emperors as a gift to the Roman people.","Piazza del Colosseo,Roma RM, Italy",3 Nights,59999,1,1,1
1008,Lean Tower of Pisa,"Leaning Tower of Pisa, Italian Torre Pendente di Pisa, medieval structure in Pisa, Italy, that is famous for the settling of its foundations, which caused it to lean 5.5 degrees (about 15 feet [4.5 metres]) from the perpendicular in the late 20th century.","Piazza del Duomo,Pisa PI, Italy",4 Nights,54999,1,1,1
1009,Walt Disney Park,"Walt Disney World Resort is an entertainment and recreation center of nearly 40 square miles featuring four theme parks (Magic Kingdom, Epcot, Disney's Hollywood Studios and Disney's Animal Kingdom). Two water adventure parks (Disney's Blizzard Beach and Disney's Typhoon Lagoon).","Orlando, FL, United States",5 Nights,98999,1,1,1
1010,Bridge Tower,"Tower Bridge, movable bridge of the double-leaf bascule (drawbridge) type that spans the River Thames between the Greater London boroughs of Tower Hamlets and Southwark. The bridge was completed in 1894. It is about 240 metres (800 feet) in length and provides an opening 76 metres (250 feet) wide.","Tower Bridge Rd, London, United Kingdom",2 Nights,64999,1,0,1
1011,Meteora,"The Meteora is a rock formation in central Greece hosting one of the largest and most precipitously built complexes of Eastern Orthodox monasteries, second in importance only to Mount Athos","Thessaly, Greece",3 Nights,44999,1,1,1
1012,Eiffel Tower,"The Eiffel Tower is 1,063 feet (324 meters) tall, including the antenna at the top. Without the antenna, it is 984 feet (300 m). It was the world's tallest structure until the Chrysler Building was built in New York in 1930. The tower was built to sway slightly in the wind, but the sun affects the tower more.","Champ de Mars, Paris, France",3 Nights,49999,1,1,1
1013,Statue of Liberty,"It is on a rectangular stonework pedestal. The foundation is an old star fort in the shape of an irregular eleven-pointed star. The statue is 151 ft (46 m) tall, but with the pedestal and foundation, it is 305 ft (93 m) tall. The Statue of Liberty is one of the most recognizable symbols in the world.","New York, United States",2 Nights,39999,1,1,1
1014,Barcelona,"Barcelona is the capital city of Catalonia, which is a region of Spain. Barcelona is the largest city on the Mediterranean coast. The city is between the rivers of Llobregat and Besòs, and south of the Pyrenees mountains. It has a hot-summer Mediterranean climate","Barcelona, Spain",5 Nights,89999,1,1,1
1015,Grand Canyon National Park,"Carved out by the Colorado River, the Grand Canyon (nearly 1,500 m deep) is the most spectacular gorge in the world. Located in the state of Arizona, it cuts across the Grand Canyon National Park. Its horizontal strata retrace the geological history of the past 2 billion years.","Arizona, US",3 Nights,64999,1,1,1
1016,Niagara Falls,"Niagara Falls, a spectacular waterfall in the NIAGARA RIVER, is the world's greatest waterfall by volume at 2832 m3. It is split in two by Goat Island. The American Falls are 59 m high.","Niagara Falls, New York, USA",2 Nights,34999,1,1,1
1017,White House,"The White House is the official residence and workplace of the president of the United States. It is located at 1600 Pennsylvania Avenue NW in Washington, D.C., and has been the residence of every U.S. president since John Adams in 1800.","White House, Washington DC, US",2 Nights,44999,1,1,1
1018,Yellow Stone National Park,"Yellowstone spans almost 3,500 miles, and extends into parts of Montana and Idaho, making it one of the largest national parks in the US. Yellowstone National Park sits on top of a dormant volcano and is home to more geysers and hot springs than any other place on earth.","Yellow Stone Park, United States",3 Nights,49999,1,1,1
